contract,target,fp_tag,filtered
2018-11411.sol,"[RepairTarget] DimonCoin:transfer:70
CODE: bool overflowed = balances[_to] + _value < balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_9 [+] _value_1 --> TMP_10
",,
2018-11411.sol,"[RepairTarget] DimonCoin:transfer:73
CODE: balances[msg.sender] -= _value
OPERATION: balances[msg.sender] [-=] _value
SSA: REF_11 [-] _value_1 --> REF_11
",,
2018-11411.sol,"[RepairTarget] DimonCoin:transfer:74
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_12 [+] _value_1 --> REF_12
",,
2018-11411.sol,"[RepairTarget] DimonCoin:transferFrom:90
CODE: bool overflowed = balances[_to] + _value > balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_16 [+] _value_1 --> TMP_20
",1.0,1.0
2018-11411.sol,"[RepairTarget] DimonCoin:transferFrom:93
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_18 [+] _value_1 --> REF_18
",,
2018-11411.sol,"[RepairTarget] DimonCoin:transferFrom:94
CODE: balances[_from] -= _value
OPERATION: balances[_from] [-=] _value
SSA: REF_19 [-] _value_1 --> REF_19
",,
2018-11411.sol,"[RepairTarget] DimonCoin:transferFrom:96
CODE: allowed[_from][msg.sender] -= _value
OPERATION: allowed[_from][msg.sender] [-=] _value
SSA: REF_21 [-] _value_1 --> REF_21
",,
2018-11429.sol,"[RepairTarget] ATL:mint:137
CODE: require(totalSupply + _value <= TOKEN_LIMIT)
OPERATION: totalSupply [+] _value
SSA: totalSupply_1 [+] _value_1 --> TMP_58
",,
2018-11429.sol,"[RepairTarget] ATL:mint:139
CODE: balances[_holder] += _value
OPERATION: balances[_holder] [+=] _value
SSA: REF_53 [+] _value_1 --> REF_53
",,
2018-11429.sol,"[RepairTarget] ATL:mint:140
CODE: totalSupply += _value
OPERATION: totalSupply [+=] _value
SSA: totalSupply_1 [+] _value_1 --> totalSupply_2
",,
2018-11446.sol,"[RepairTarget] GRX:increaseTotalSupply:109
CODE: balanceOf[target] += increaseBy
OPERATION: balanceOf[target] [+=] increaseBy
SSA: REF_8 [+] increaseBy_1 --> REF_8
",,
2018-11446.sol,"[RepairTarget] GRX:increaseTotalSupply:110
CODE: totalSupply += increaseBy
OPERATION: totalSupply [+=] increaseBy
SSA: totalSupply_3 [+] increaseBy_1 --> totalSupply_4
",,
2018-11561.sol,"[RepairTarget] StandardToken:transfer:51
CODE: balances[msg.sender] -= _value
OPERATION: balances[msg.sender] [-=] _value
SSA: REF_1 [-] _value_1 --> REF_1
",1.0,1.0
2018-11561.sol,"[RepairTarget] StandardToken:transfer:52
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_2 [+] _value_1 --> REF_2
",,
2018-11561.sol,"[RepairTarget] StandardToken:transferFrom:62
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_6 [+] _value_1 --> REF_6
",,
2018-11561.sol,"[RepairTarget] StandardToken:transferFrom:63
CODE: balances[_from] -= _value
OPERATION: balances[_from] [-=] _value
SSA: REF_7 [-] _value_1 --> REF_7
",1.0,1.0
2018-11561.sol,"[RepairTarget] StandardToken:transferFrom:64
CODE: allowed[_from][msg.sender] -= _value
OPERATION: allowed[_from][msg.sender] [-=] _value
SSA: REF_9 [-] _value_1 --> REF_9
",1.0,1.0
2018-11561.sol,"[RepairTarget] StandardToken:distributeToken:71
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",1.0,1.0
2018-11561.sol,"[RepairTarget] StandardToken:distributeToken:72
CODE: balances[msg.sender] -= _value
OPERATION: balances[msg.sender] [-=] _value
SSA: REF_11 [-] _value_1 --> REF_11
",,
2018-11561.sol,"[RepairTarget] StandardToken:distributeToken:73
CODE: balances[addresses[i]] += _value
OPERATION: balances[addresses[i]] [+=] _value
SSA: REF_13 [+] _value_1 --> REF_13
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:40
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",1.0,1.0
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:41
CODE: balances[owner] -= 2000 * 10**8
OPERATION: 2000 [*] 10**8
SSA: 2000 [*] TMP_3 --> TMP_4
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:41
CODE: balances[owner] -= 2000 * 10**8
OPERATION: balances[owner] [-=] 2000 * 10**8
SSA: REF_2 [-] TMP_4 --> REF_2
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:42
CODE: balances[addresses[i]] += 2000 * 10**8
OPERATION: 2000 [*] 10**8
SSA: 2000 [*] TMP_5 --> TMP_6
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:42
CODE: balances[addresses[i]] += 2000 * 10**8
OPERATION: balances[addresses[i]] [+=] 2000 * 10**8
SSA: 2000 [*] TMP_5 --> TMP_6
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:distributeBTR:43
CODE: Transfer(owner, addresses[i], 2000 * 10**8)
OPERATION: 2000 [*] 10**8
SSA: 2000 [*] TMP_7 --> TMP_8
",,
2018-11687.sol,"[RepairTarget] BitcoinRed:transfer:58
CODE: balances[msg.sender] >= _amount && _amount > 0 && balances[_to] + _amount > balances[_to]
OPERATION: balances[_to] [+] _amount
SSA: REF_8 [+] _amount_1 --> TMP_15
",1.0,1.0
2018-11687.sol,"[RepairTarget] BitcoinRed:transfer:59
CODE: balances[msg.sender] -= _amount
OPERATION: balances[msg.sender] [-=] _amount
SSA: REF_10 [-] _amount_1 --> REF_10
",1.0,1.0
2018-11687.sol,"[RepairTarget] BitcoinRed:transfer:60
CODE: balances[_to] += _amount
OPERATION: balances[_to] [+=] _amount
SSA: REF_11 [+] _amount_1 --> REF_11
",1.0,1.0
2018-12025-1.sol,"[RepairTarget] FuturXe:mintToken:138
CODE: balances[target] += mintedAmount
OPERATION: balances[target] [+=] mintedAmount
SSA: REF_22 [+] mintedAmount_1 --> REF_22
",,
2018-12025-1.sol,"[RepairTarget] FuturXe:mintToken:139
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-12025-2.sol,"[RepairTarget] RemiCoin:mintToken:138
CODE: balances[target] += mintedAmount
OPERATION: balances[target] [+=] mintedAmount
SSA: REF_22 [+] mintedAmount_1 --> REF_22
",,
2018-12025-2.sol,"[RepairTarget] RemiCoin:mintToken:139
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:53
CODE: msg.data.length < (3 * 32) + 4
OPERATION: 3 [*] 32
SSA: 3 [*] 32 --> TMP_10
",1.0,1.0
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:53
CODE: msg.data.length < (3 * 32) + 4
OPERATION: (3 * 32) [+] 4
SSA: TMP_10 [+] 4 --> TMP_11
",1.0,1.0
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:62
CODE: bool overflowed = balances[_to] + _value > balances[_to]
OPERATION: balances[_to] [+] _value
SSA: REF_11 [+] _value_1 --> TMP_16
",1.0,1.0
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:65
CODE: balances[_to] += _value
OPERATION: balances[_to] [+=] _value
SSA: REF_13 [+] _value_1 --> REF_13
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:66
CODE: balances[_from] -= _value
OPERATION: balances[_from] [-=] _value
SSA: REF_14 [-] _value_1 --> REF_14
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:transferFrom:68
CODE: allowed[_from][msg.sender] -= _value
OPERATION: allowed[_from][msg.sender] [-=] _value
SSA: REF_16 [-] _value_1 --> REF_16
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:123
CODE: totalContribution += msg.value
OPERATION: totalContribution [+=] msg.value
SSA: totalContribution_2 [+] msg.value --> totalContribution_3
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:125
CODE: uint256 tokensIssued = (msg.value * 100)
OPERATION: msg.value [*] 100
SSA: msg.value [*] 100 --> TMP_36
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:128
CODE: tokensIssued += totalContribution
OPERATION: tokensIssued [+=] totalContribution
SSA: tokensIssued_1 [+] totalContribution_3 --> tokensIssued_2
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:138
CODE: uint256 bonusTokensIssued = (msg.value * 100) * bonusMultiplier
OPERATION: msg.value [*] 100
SSA: msg.value [*] 100 --> TMP_40
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:138
CODE: uint256 bonusTokensIssued = (msg.value * 100) * bonusMultiplier
OPERATION: (msg.value * 100) [*] bonusMultiplier
SSA: TMP_40 [*] bonusMultiplier_3 --> TMP_41
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:139
CODE: tokensIssued += bonusTokensIssued
OPERATION: tokensIssued [+=] bonusTokensIssued
SSA: tokensIssued_2 [+] bonusTokensIssued_1 --> tokensIssued_3
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:141
CODE: totalBonusTokensIssued += bonusTokensIssued
OPERATION: totalBonusTokensIssued [+=] bonusTokensIssued
SSA: totalBonusTokensIssued_2 [+] bonusTokensIssued_1 --> totalBonusTokensIssued_3
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:145
CODE: totalSupply += tokensIssued
OPERATION: totalSupply [+=] tokensIssued
SSA: totalSupply_2 [+] tokensIssued_5 --> totalSupply_3
",,
2018-12025-3.sol,"[RepairTarget] UselessEthereumToken:fallback:146
CODE: balances[msg.sender] += tokensIssued
OPERATION: balances[msg.sender] [+=] tokensIssued
SSA: REF_27 [+] tokensIssued_5 --> REF_27
",,
2018-12062.sol,"[RepairTarget] SwftCoin:mintToken:141
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-12062.sol,"[RepairTarget] SwftCoin:mintToken:142
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-12063.sol,"[RepairTarget] INTToken:mintToken:150
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_49 [+] mintedAmount_1 --> REF_49
",,
2018-12063.sol,"[RepairTarget] INTToken:mintToken:151
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
2018-12067.sol,"[RepairTarget] MyAdvancedToken:mintToken:141
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-12067.sol,"[RepairTarget] MyAdvancedToken:mintToken:142
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-12068.sol,"[RepairTarget] MyAdvancedToken:mintToken:141
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-12068.sol,"[RepairTarget] MyAdvancedToken:mintToken:142
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-12070.sol,"[RepairTarget] SECToken:mintToken:233
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_58 [+] mintedAmount_1 --> REF_58
",,
2018-12070.sol,"[RepairTarget] SECToken:mintToken:234
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
2018-12230.sol,"[RepairTarget] RemiCoin:mintToken:134
CODE: balances[target] += mintedAmount
OPERATION: balances[target] [+=] mintedAmount
SSA: REF_22 [+] mintedAmount_1 --> REF_22
",,
2018-12230.sol,"[RepairTarget] RemiCoin:mintToken:135
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-13041.sol,"[RepairTarget] LinkToken:mint:191
CODE: balances[_spender] += _value
OPERATION: balances[_spender] [+=] _value
SSA: REF_53 [+] _value_1 --> REF_53
",,
2018-13041.sol,"[RepairTarget] LinkToken:mint:192
CODE: totalSupply += _value
OPERATION: totalSupply [+=] _value
SSA: totalSupply_2 [+] _value_1 --> totalSupply_3
",,
2018-13068.sol,"[RepairTarget] AzurionToken:mintToken:87
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_12 [+] mintedAmount_1 --> REF_12
",,
2018-13068.sol,"[RepairTarget] AzurionToken:mintToken:88
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-13069.sol,"[RepairTarget] DYC:mintToken:213
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_57 [+] mintedAmount_1 --> REF_57
",,
2018-13069.sol,"[RepairTarget] DYC:mintToken:214
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
2018-13070.sol,"[RepairTarget] EncryptedToken:mintToken:140
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_57 [+] mintedAmount_1 --> REF_57
",,
2018-13070.sol,"[RepairTarget] EncryptedToken:mintToken:141
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
2018-13070.sol,"[RepairTarget] EncryptedToken:fallback:162
CODE: uint amount = msg.value * buyPrice
OPERATION: msg.value [*] buyPrice
SSA: msg.value [*] buyPrice_3 --> TMP_86
",,
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:166
CODE: i++
OPERATION: [++] i
SSA: i_2 [+] 1 --> i_3
",1.0,1.0
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:167
CODE: address holder = addresses[i+1]
OPERATION: i [+] 1
SSA: i_2 [+] 1 --> TMP_45
",1.0,1.0
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:168
CODE: uint reward = balanceOf[holder] * 3 / 100
OPERATION: balanceOf[holder] [*] 3
SSA: REF_61 [*] 3 --> TMP_46
",,
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:168
CODE: uint reward = balanceOf[holder] * 3 / 100
OPERATION: balanceOf[holder] * 3 [/] 100
SSA: TMP_46 [/] 100 --> TMP_47
",1.0,1.0
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:169
CODE: balanceOf[holder] += reward
OPERATION: balanceOf[holder] [+=] reward
SSA: REF_62 [+] reward_1 --> REF_62
",,
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:170
CODE: distributed += reward
OPERATION: distributed [+=] reward
SSA: distributed_2 [+] reward_1 --> distributed_3
",,
2018-13071.sol,"[RepairTarget] CCindexToken:distributeTokens:175
CODE: totalSupply += distributed
OPERATION: totalSupply [+=] distributed
SSA: totalSupply_3 [+] distributed_2 --> totalSupply_4
",,
2018-13071.sol,"[RepairTarget] CCindexToken:mintToken:197
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_73 [+] mintedAmount_1 --> REF_73
",,
2018-13071.sol,"[RepairTarget] CCindexToken:mintToken:198
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_6 [+] mintedAmount_1 --> totalSupply_7
",,
2018-13072.sol,"[RepairTarget] Coffeecoin:mintToken:139
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-13072.sol,"[RepairTarget] Coffeecoin:buy:159
CODE: uint amount = msg.value * buyRate
OPERATION: msg.value [*] buyRate
SSA: msg.value [*] buyRate_2 --> TMP_66
",,
2018-13072.sol,"[RepairTarget] Coffeecoin:buy:160
CODE: balanceOf[msg.sender] += amount
OPERATION: balanceOf[msg.sender] [+=] amount
SSA: REF_54 [+] amount_1 --> REF_54
",,
2018-13072.sol,"[RepairTarget] Coffeecoin:buy:161
CODE: balanceOf[owner] -= amount
OPERATION: balanceOf[owner] [-=] amount
SSA: REF_55 [-] amount_1 --> REF_55
",,
2018-13073.sol,"[RepairTarget] ETHEREUMBLACK:mintToken:141
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-13073.sol,"[RepairTarget] ETHEREUMBLACK:mintToken:142
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_3 [+] mintedAmount_1 --> totalSupply_4
",,
2018-13074.sol,"[RepairTarget] FIBToken:mintToken:212
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_57 [+] mintedAmount_1 --> REF_57
",,
2018-13074.sol,"[RepairTarget] FIBToken:mintToken:213
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
2018-13075.sol,"[RepairTarget] CarbonExchangeCoinToken:mintToken:225
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_58 [+] mintedAmount_1 --> REF_58
",,
2018-13075.sol,"[RepairTarget] CarbonExchangeCoinToken:mintToken:226
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_8 [+] mintedAmount_1 --> totalSupply_9
",,
2018-13075.sol,"[RepairTarget] CarbonExchangeCoinToken:setMinBalance:264
CODE: = minimumBalanceInFinney * 1 finney;
	}

	/* tokenname */
OPERATION:  * 1 finney;
	}

	/* t [*] nname */
SSA: minimumBalanceInFinney_1 [*] 1000000000000000 --> TMP_94
",,
2018-13076.sol,"[RepairTarget] Betcash:mintToken:139
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_52 [+] mintedAmount_1 --> REF_52
",,
2018-13076.sol,"[RepairTarget] Betcash:buy:159
CODE: uint amount = msg.value * buyRate
OPERATION: msg.value [*] buyRate
SSA: msg.value [*] buyRate_2 --> TMP_66
",,
2018-13076.sol,"[RepairTarget] Betcash:buy:160
CODE: balanceOf[msg.sender] += amount
OPERATION: balanceOf[msg.sender] [+=] amount
SSA: REF_54 [+] amount_1 --> REF_54
",,
2018-13076.sol,"[RepairTarget] Betcash:buy:161
CODE: balanceOf[owner] -= amount
OPERATION: balanceOf[owner] [-=] amount
SSA: REF_55 [-] amount_1 --> REF_55
",,
2018-13077.sol,"[RepairTarget] CTB:mintToken:163
CODE: balanceOf[target] += mintedAmount
OPERATION: balanceOf[target] [+=] mintedAmount
SSA: REF_49 [+] mintedAmount_1 --> REF_49
",,
2018-13077.sol,"[RepairTarget] CTB:mintToken:164
CODE: totalSupply += mintedAmount
OPERATION: totalSupply [+=] mintedAmount
SSA: totalSupply_7 [+] mintedAmount_1 --> totalSupply_8
",,
